Activation,Learning Rate,Max Epochs,Hidden Layers,Train Accuracy,Test Accuracy,Train Log Loss,Test Log Loss
logistic,0.01,100,2,0.9375,0.9737,0.2439,0.1997
logistic,0.01,100,3,0.9554,0.9474,0.2669,0.2438
logistic,0.01,200,2,0.9821,1.0,0.0667,0.0367
logistic,0.01,200,3,0.9821,1.0,0.0657,0.0343
logistic,0.1,100,2,0.9821,0.9737,0.0447,0.0351
logistic,0.1,100,3,0.9911,0.9737,0.0283,0.0383
logistic,0.1,200,2,0.9911,1.0,0.0319,0.011
logistic,0.1,200,3,1.0,0.9474,0.0011,0.2277
tanh,0.01,100,2,0.9821,1.0,0.0623,0.0347
tanh,0.01,100,3,0.9821,1.0,0.0526,0.02
tanh,0.01,200,2,0.9821,1.0,0.0479,0.0205
tanh,0.01,200,3,0.9911,1.0,0.0321,0.0134
tanh,0.1,100,2,1.0,0.9474,0.0025,0.1833
tanh,0.1,100,3,0.9911,1.0,0.0385,0.0057
tanh,0.1,200,2,1.0,0.9474,0.0003,0.322
tanh,0.1,200,3,1.0,1.0,0.0004,0.0013
relu,0.01,100,2,0.9821,1.0,0.0542,0.0198
relu,0.01,100,3,0.9911,0.9737,0.0315,0.0309
relu,0.01,200,2,0.9821,1.0,0.0457,0.0175
relu,0.01,200,3,1.0,0.9737,0.0019,0.1251
relu,0.1,100,2,0.9821,1.0,0.0435,0.0157
relu,0.1,100,3,1.0,1.0,0.0026,0.007
relu,0.1,200,2,1.0,1.0,0.0026,0.0002
relu,0.1,200,3,1.0,1.0,0.0004,0.0065
